date,open,close,sma5,km_signal,km_action,km_shares,lstm_signal,lstm_action,lstm_shares,lgbm_signal,lgbm_action,lgbm_shares,ppo_signal,ppo_action,ppo_shares,tfm_signal,tfm_action,tfm_shares,uv_signal,uv_action,uv_shares,td3_signal,td3_action,td3_shares
2025-10-31,4.61,4.67,4.69,strong_sell,hold,,mild_buy,hold,,strong_buy,sell,1300,strong_buy,hold,,hold,buy,2300,buy,hold,,strong_buy,hold,
2025-11-03,4.66,4.68,4.69,strong_sell,hold,,mild_buy,buy,12600,hold,buy,19600,strong_buy,hold,,hold,hold,,disagree,buy,23100,strong_sell,hold,
2025-11-04,4.66,4.63,4.66,strong_sell,hold,,mild_buy,buy,6300,mild_sell,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_sell,sell,16800
2025-11-05,4.62,4.66,4.66,strong_sell,hold,,mild_buy,buy,3200,mild_buy,sell,10500,strong_buy,hold,,hold,buy,1100,buy,hold,,strong_buy,hold,
2025-11-06,4.64,4.61,4.65,strong_sell,hold,,mild_buy,hold,,mild_sell,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,hold,
2025-11-07,4.61,4.57,4.63,strong_sell,hold,,mild_buy,buy,1600,strong_sell,sell,5200,strong_buy,hold,,mild_buy,buy,600,buy,hold,,strong_buy,buy,16900
2025-11-10,4.57,4.68,4.63,strong_sell,hold,,mild_sell,buy,800,hold,sell,5300,hold,hold,,strong_sell,buy,300,sell,hold,,strong_buy,hold,
2025-11-11,4.65,4.74,4.65,mild_buy,hold,,mild_sell,sell,12200,mild_buy,hold,,hold,hold,,mild_sell,sell,17700,disagree,sell,23100,strong_sell,hold,
2025-11-12,4.68,4.61,4.64,strong_sell,hold,,mild_sell,sell,6100,mild_buy,hold,,hold,hold,,strong_buy,hold,,disagree,hold,,strong_buy,sell,16900
2025-11-13,4.61,4.63,4.65,strong_sell,hold,,mild_sell,sell,3100,mild_buy,buy,10400,hold,hold,,hold,buy,18100,disagree,hold,,strong_buy,buy,17200
2025-11-14,4.59,4.64,4.66,strong_sell,hold,,mild_sell,sell,1500,hold,buy,5300,hold,hold,,hold,hold,,hold,hold,,strong_buy,hold,
2025-11-17,4.61,4.67,4.66,mild_buy,hold,,mild_sell,sell,800,mild_buy,hold,,strong_buy,hold,,hold,hold,,buy,hold,,strong_sell,hold,
2025-11-18,4.65,4.58,4.63,strong_sell,hold,,mild_sell,sell,400,strong_sell,hold,,hold,hold,,strong_buy,hold,,sell,hold,,mild_sell,sell,17200
2025-11-19,4.58,4.35,4.57,strong_buy,hold,,mild_sell,sell,200,hold,sell,15700,hold,hold,,strong_buy,hold,,disagree,hold,,strong_sell,hold,
2025-11-20,4.33,4.18,4.48,strong_buy,buy,42000,mild_sell,sell,100,mild_sell,hold,,hold,hold,,strong_buy,buy,100,disagree,hold,,hold,hold,
2025-11-21,4.11,4.01,4.36,strong_buy,hold,,mild_sell,hold,,strong_sell,hold,,strong_buy,hold,,strong_buy,hold,,buy,hold,,strong_buy,hold,
2025-11-24,4.0,4.01,4.23,strong_buy,hold,,mild_sell,hold,,strong_buy,hold,,strong_buy,hold,,hold,hold,,buy,buy,26800,strong_buy,buy,20000
2025-11-25,4.02,4.04,4.12,strong_buy,hold,,mild_sell,hold,,strong_buy,buy,23900,strong_buy,hold,,hold,hold,,buy,hold,,strong_buy,hold,
2025-11-26,4.07,4.11,4.07,strong_buy,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,mild_sell,hold,,disagree,hold,,strong_buy,hold,
2025-11-27,4.14,4.02,4.04,strong_buy,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,strong_buy,sell,9100,buy,hold,,strong_buy,hold,
2025-11-28,4.0,4.06,4.05,strong_buy,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,mild_sell,buy,9400,disagree,hold,,strong_buy,hold,
2025-12-01,4.05,4.05,4.06,strong_buy,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,mild_buy,sell,9200,buy,hold,,strong_buy,hold,
2025-12-02,4.04,4.07,4.06,strong_sell,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,hold,buy,4600,disagree,hold,,strong_buy,hold,
2025-12-03,4.06,4.0,4.04,strong_sell,sell,42000,mild_sell,hold,,hold,hold,,strong_buy,hold,,strong_buy,hold,,disagree,hold,,strong_buy,hold,
2025-12-04,4.0,3.92,4.02,strong_sell,hold,,mild_sell,hold,,mild_sell,hold,,strong_buy,hold,,strong_buy,buy,4600,sell,hold,,strong_buy,hold,
2025-12-05,3.88,3.93,3.99,strong_sell,hold,,mild_sell,hold,,strong_buy,sell,11900,strong_buy,hold,,hold,hold,,disagree,sell,26800,strong_buy,hold,
2025-12-08,3.87,4.32,4.05,hold,hold,,mild_sell,hold,,strong_buy,buy,11900,hold,hold,,strong_sell,hold,,disagree,hold,,strong_sell,hold,
2025-12-09,4.38,4.75,4.18,hold,hold,,mild_sell,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,sell,18500,sell,hold,,strong_sell,sell,20000
2025-12-10,5.23,5.23,4.43,mild_sell,hold,,mild_sell,hold,,strong_sell,sell,23900,strong_sell,sell,39100,strong_sell,hold,,sell,hold,,strong_sell,hold,
2025-12-11,5.38,5.55,4.76,hold,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,hold,,sell,hold,,strong_sell,hold,
2025-12-12,5.27,5.0,4.97,hold,hold,,strong_sell,sell,100,strong_sell,hold,,strong_sell,hold,,strong_buy,hold,,sell,hold,,strong_sell,hold,
2025-12-15,4.9,5.05,5.12,hold,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,hold,,sell,hold,,strong_sell,hold,
2025-12-16,5.04,5.56,5.28,mild_sell,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,hold,,sell,hold,,strong_sell,hold,
