date,lambda_max,mp_upper,mp_upper_adj,detachment,market_mode_frac,absorption_ratio,n_deviating,effective_rank,N,T,shift
2022-06-28,35.79532008800123,2.707661115402472,1.1973450016999456,13.220014825481789,0.34090781036191653,0.7812695958184522,4,22.6966048747208,105,252,11.805159145614645
2022-06-29,35.77084392168473,2.707661115402472,1.1971290382283029,13.210975228104823,0.34067470401604505,0.7810495818883137,4,22.705775769660267,105,252,11.647081701363506
2022-06-30,35.74593173391378,2.707661115402472,1.1978046124278166,13.201774598221991,0.34043744508489315,0.7812119399041307,4,22.717620182245508,105,252,11.482763050186293
2022-07-01,35.78165752157011,2.707661115402472,1.1964272300516026,13.214968933160403,0.3407776906816201,0.7816038196730247,4,22.66477000839654,105,252,11.351194401779402
2022-07-05,35.63491838146099,2.707661115402472,1.1949312716593556,13.160774876424721,0.33938017506153323,0.7821500676671574,4,22.66927632732813,105,252,11.393443703750464
2022-07-06,35.64809460507939,2.707661115402472,1.1962782839830561,13.165641151433602,0.33950566290551804,0.7818755337710872,4,22.692646058628867,105,252,11.259315413075598
2022-07-07,35.676030306342255,2.707661115402472,1.1943758202832977,13.17595843268566,0.33977171720325955,0.7821362380187016,4,22.645822399507246,105,252,11.195471227191113
2022-07-08,35.65298892354565,2.707661115402472,1.1950659663741958,13.167448733053922,0.3395522754623395,0.7820351938130102,4,22.666841642495744,105,252,11.141695627310208
2022-07-11,35.563724294153545,2.707661115402472,1.1972505697850653,13.134481302645321,0.33870213613479566,0.7816401279473233,4,22.73807013610403,105,252,11.120981893535044
2022-07-12,35.53974059891479,2.707661115402472,1.1976760518796816,13.12562358588663,0.3384737199896647,0.7815543469223818,4,22.756186374775762,105,252,10.993192939364176
2022-07-13,35.53380377244693,2.707661115402472,1.1978808900371158,13.123430982671227,0.3384171787852089,0.7813971440281686,4,22.766487935943445,105,252,11.019976467122582
2022-07-14,35.53897085416631,2.707661115402472,1.198683199518668,13.125339301880741,0.33846638908729815,0.7813098794280184,4,22.78485252491046,105,252,10.86004889505377
2022-07-15,35.744576145244466,2.707661115402472,1.1964922081962683,13.201273948911927,0.34042453471661394,0.7814643739198565,4,22.681273360654167,105,252,10.861690260093857
2022-07-18,35.72412431398946,2.707661115402472,1.1955106383032819,13.193720628764638,0.3402297553713282,0.7816805482492384,4,22.664415805047096,105,252,10.86092636301837
2022-07-19,36.01459653759956,2.707661115402472,1.1911672403711069,13.30099853808562,0.3429961575009482,0.7823405267651053,4,22.487584182606874,105,252,11.03529352126254
2022-07-20,35.8753486873708,2.707661115402472,1.1910802402976344,13.249571182780096,0.34166998749876953,0.7820798760049082,4,22.536677458164668,105,252,10.951692775993523
2022-07-21,35.81650656062527,2.707661115402472,1.1943726612461645,13.227839465169346,0.34110958629166926,0.7814915448451286,4,22.636074060664384,105,252,10.89397153264202
2022-07-22,35.79347704451666,2.707661115402472,1.1954489836029472,13.219334148171734,0.34089025756682534,0.7818214169320453,4,22.644000133682457,105,252,10.795144297626665
2022-07-25,35.75452210054735,2.707661115402472,1.197143082805287,13.204947213356398,0.3405192581004509,0.7813096847646069,4,22.691847519379277,105,252,10.661726151071177
2022-07-26,35.67732441338559,2.707661115402472,1.1986791549730333,13.176436375451825,0.3397840420322437,0.7808865476021638,4,22.742022378005498,105,252,10.600960949249625
2022-07-27,35.74029054582641,2.707661115402472,1.197492085063456,13.199691180893554,0.34038371948406104,0.7810657288615556,4,22.698918399816183,105,252,10.527859778995579
2022-07-28,35.80005855956365,2.707661115402472,1.1972937203508518,13.221764849343883,0.340952938662511,0.7810595272584376,4,22.679190663064002,105,252,10.507695590535894
2022-07-29,35.75295186038608,2.707661115402472,1.1986367024545452,13.204367288434353,0.34050430343224836,0.7801635431580505,4,22.741327838529777,105,252,10.358876129453778
2022-08-01,35.7522479605081,2.707661115402472,1.198011602119367,13.20410732241646,0.34049759962388665,0.7807283526403646,4,22.71399712179486,105,252,10.163007345393028
2022-08-02,35.79999868563608,2.707661115402472,1.1977422530254072,13.221742736559078,0.3409523684346294,0.7805486166544989,4,22.701659711600023,105,252,10.090218939650725
2022-08-03,35.742765869407094,2.707661115402472,1.1980466601073159,13.200605373429172,0.34040729399435327,0.7805651664514913,4,22.732295950795187,105,252,10.056320424987769
2022-08-04,35.678755461018184,2.707661115402472,1.1999524971192643,13.176964893450053,0.33979767105731606,0.7804907330326092,4,22.78451971784655,105,252,9.878354968585121
2022-08-05,35.64008117400323,2.707661115402472,1.2001611016463727,13.162681611544885,0.33942934451431644,0.7805160922271374,4,22.79527259296971,105,252,9.669297250723794
2022-08-08,35.643989421707616,2.707661115402472,1.2015685863795853,13.164125015108999,0.3394665659210249,0.7801108233777008,4,22.830907698091288,105,252,9.625247434046532
2022-08-09,35.605389683350026,2.707661115402472,1.2011156944673254,13.149869265695598,0.3390989493652383,0.7803094376339883,4,22.829139687323284,105,252,9.379449354958439
2022-08-10,35.813472151070286,2.707661115402472,1.1971793005841904,13.22671878963956,0.34108068715305034,0.7810532922421897,4,22.677708704312487,105,252,9.467793729893202
2022-08-11,35.744406327325805,2.707661115402472,1.1966342920810762,13.20121123134447,0.34042291740310293,0.7809468169805578,4,22.692423626659558,105,252,9.421726055865145
2022-08-12,35.917960343008275,2.707661115402472,1.1935765471000777,13.26530862325781,0.342075812790555,0.7813649401319381,4,22.584589112754912,105,252,9.484484115784868
